name,price,category
Петрушка Global Village 30 г,"59,99 ₽","Овощи, фрукты, зелень, орехи"
Фруктово-ореховая смесь Красная цена 100 г,"67,49 ₽","Овощи, фрукты, зелень, орехи"
Смесь овощная Морозко Рагу резанное замороженное 400 г,"109,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки от Мартина полосатые суперсоленые 150 г,"149,99 ₽","Овощи, фрукты, зелень, орехи"
Фисташки Красная цена неочищенные жареные соленые 100 г,"167,99 ₽","Овощи, фрукты, зелень, орехи"
Яблоки Симиренко,"Цена за 1 кг203,99 ₽","Овощи, фрукты, зелень, орехи"
Капуста цветная,"Цена со скидкой за 1 кг299,99 ₽","Овощи, фрукты, зелень, орехи"
Икра Пиканта из кабачков 450 г,"Цена со скидкой за 1 шт.119,99 ₽","Овощи, фрукты, зелень, орехи"
Курага ~200 г,"239,80 ₽","Овощи, фрукты, зелень, орехи"
Черника сублимированная Ого! 25 г,"Цена со скидкой за 1 шт.230,99 ₽","Овощи, фрукты, зелень, орехи"
Орех грецкий очищенный ~200 г,"239,80 ₽","Овощи, фрукты, зелень, орехи"
Икра Дядя Ваня из кабачков 460 г,"124,99 ₽","Овощи, фрукты, зелень, орехи"
Помидоры Черри Global Village на ветке 250 г,"239,99 ₽","Овощи, фрукты, зелень, орехи"
Лук репчатый салатный красный 500 г в лотке,"89,99 ₽","Овощи, фрукты, зелень, орехи"
Фасоль Global Village белая в томатном соусе 400 г,"Цена со скидкой за 1 шт.107,99 ₽","Овощи, фрукты, зелень, орехи"
Картофель Сад и огород для варки 3 кг,"289,99 ₽","Овощи, фрукты, зелень, орехи"
Миндаль Красная цена Ядра жареные 100 г,"142,99 ₽","Овощи, фрукты, зелень, орехи"
Помидоры Кумато 350 г,"219,99 ₽","Овощи, фрукты, зелень, орехи"
Лечо Валдайский Погребок Любительское стерилизованное 660 г,"122,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные от Мартина Отборные жареные 100 г,"49,99 ₽","Овощи, фрукты, зелень, орехи"
Замороженная смесь овощная Global Village Карибская...,"Цена со скидкой за 1 шт.224,99 ₽","Овощи, фрукты, зелень, орехи"
Фисташки жареные неочищенные соленые ~200 г,"339,80 ₽","Овощи, фрукты, зелень, орехи"
Оливки Global Village Selection сорта Hojiblanca отборные...,"119,99 ₽","Овощи, фрукты, зелень, орехи"
Горошек Global Village Selection зеленый консервированный...,"Цена со скидкой за 1 шт.104,99 ₽","Овощи, фрукты, зелень, орехи"
Чернослив ~200 г,"140,00 ₽","Овощи, фрукты, зелень, орехи"
Фасоль Bonduelle красная консервированная 400 г,"139,99 ₽","Овощи, фрукты, зелень, орехи"
Фасоль Красная цена белая натуральная 360 г,"64,99 ₽","Овощи, фрукты, зелень, орехи"
Картофель фри Global Village Selection быстрозамороженный...,"299,99 ₽","Овощи, фрукты, зелень, орехи"
Горошек Globus зеленый консервированный 425 г,"97,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные Бабкины Семечки жареные 300 г,"119,99 ₽","Овощи, фрукты, зелень, орехи"
Лук репчатый Ялтинский красный 450 г,"179,99 ₽","Овощи, фрукты, зелень, орехи"
"Картофель мытый 2,5 кг","259,99 ₽","Овощи, фрукты, зелень, орехи"
Оливки Bonduelle зеленые без косточки 300 г,"179,99 ₽","Овощи, фрукты, зелень, орехи"
Горошек Global Village Молодой без добавления сахара из...,"Цена со скидкой за 1 шт.104,99 ₽","Овощи, фрукты, зелень, орехи"
Персики сушеные ~1 кг,"1 999,00 ₽","Овощи, фрукты, зелень, орехи"
Томаты Маринованные Красная цена 680 г,"114,99 ₽","Овощи, фрукты, зелень, орехи"
Томаты вяленые Trattoria di maestro Turatti 190 г,"244,99 ₽","Овощи, фрукты, зелень, орехи"
Лимоны Global Village 2 шт,"Цена со скидкой за 1 шт.89,99 ₽","Овощи, фрукты, зелень, орехи"
Овощная смесь Global Village Овощи гриль с итальянскими...,"229,99 ₽","Овощи, фрукты, зелень, орехи"
Маслины Bonduelle без косточки 300 г,"189,99 ₽","Овощи, фрукты, зелень, орехи"
Имбирь Global Village маринованный 250 г,"119,99 ₽","Овощи, фрукты, зелень, орехи"
Картофель Бэби 1 кг,"99,99 ₽","Овощи, фрукты, зелень, орехи"
Дыня Зеленика Здоровый перекус 20 г,"Цена со скидкой за 1 шт.132,99 ₽","Овощи, фрукты, зелень, орехи"
Оливки Global Village фаршированные лимоном 300 г,"159,99 ₽","Овощи, фрукты, зелень, орехи"
Икра Global Village из баклажанов 350 г,"Цена со скидкой за 1 шт.89,99 ₽","Овощи, фрукты, зелень, орехи"
Мини-бананы,"Цена за 1 кг161,99 ₽","Овощи, фрукты, зелень, орехи"
Петрушка Global Village 100 г,"89,99 ₽","Овощи, фрукты, зелень, орехи"
Тыква в ассортименте (сорт по наличию),"Цена за 1 кг340,97 ₽","Овощи, фрукты, зелень, орехи"
Кукуруза сладкая вареная 240 г,"179,99 ₽","Овощи, фрукты, зелень, орехи"
Фасоль Global Village с овощами в томатном соусе 530 г,"Цена со скидкой за 1 шт.124,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные от Мартина жареные соленые 100 г,"72,99 ₽","Овощи, фрукты, зелень, орехи"
Фасоль красная Global Village 400 г,"Цена со скидкой за 1 шт.119,99 ₽","Овощи, фрукты, зелень, орехи"
Морковь мытая подложка 600 г,"89,99 ₽","Овощи, фрукты, зелень, орехи"
"Яблоки Global Village Голден ~1,3 кг","Цена со скидкой за 1 шт.162,49 ₽","Овощи, фрукты, зелень, орехи"
Феттучини Мираторг Vитамин с морепродуктами в соусе...,"Цена со скидкой за 1 шт.364,99 ₽","Овощи, фрукты, зелень, орехи"
Арахис жареный соленый ~200 г,"100,00 ₽","Овощи, фрукты, зелень, орехи"
Перец жгучий Pura Vida Тайский 30 г,"Цена со скидкой за 1 шт.99,99 ₽","Овощи, фрукты, зелень, орехи"
Чеснок Гурме соленый 400 г,"129,99 ₽","Овощи, фрукты, зелень, орехи"
Закуска овощная Global Village из свеклы 520 г,"Цена со скидкой за 1 шт.99,99 ₽","Овощи, фрукты, зелень, орехи"
Финики ~300 г,"180,00 ₽","Овощи, фрукты, зелень, орехи"
Томаты Красная цена неочищенные в томатном соке 680 г,"114,99 ₽","Овощи, фрукты, зелень, орехи"
Кешью жареный очищенный ~100 г,"179,90 ₽","Овощи, фрукты, зелень, орехи"
Мандарины Global Village отборные,"Цена за 1 кг241,99 ₽","Овощи, фрукты, зелень, орехи"
Капуста цветная Красная цена быстрозамороженная 700 г,"219,99 ₽","Овощи, фрукты, зелень, орехи"
Маслины Global Village Selection сорта Hojiblanca отборные...,"142,99 ₽","Овощи, фрукты, зелень, орехи"
Чипсы ягодные Зеленика Здоровый перекус вишня 25 г,"Цена со скидкой за 1 шт.132,99 ₽","Овощи, фрукты, зелень, орехи"
Оливки Global Village с креветкой 300 г,"159,99 ₽","Овощи, фрукты, зелень, орехи"
Изюм светлый ~200 г,"110,00 ₽","Овощи, фрукты, зелень, орехи"
Икра Красная цена из кабачков 360 г,"69,99 ₽","Овощи, фрукты, зелень, орехи"
Кунжут Индана 15 г,"44,99 ₽","Овощи, фрукты, зелень, орехи"
Шампиньоны Знаток резаные 400 г,"65,99 ₽","Овощи, фрукты, зелень, орехи"
Компотная смесь Mixbar фруктовая 500 г,"209,99 ₽","Овощи, фрукты, зелень, орехи"
Фасоль Пиканта по-монастырски с овощами 470 г,"Цена со скидкой за 1 шт.149,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные Мааг Отборные жареные соленые 250 г,"96,99 ₽","Овощи, фрукты, зелень, орехи"
Помело розовое Китай ~2 кг,"Цена со скидкой за 1 шт.399,98 ₽","Овощи, фрукты, зелень, орехи"
Редис Дайкон,"Цена за 1 кг70,00 ₽","Овощи, фрукты, зелень, орехи"
Яблоки Джерамин 4 шт ~800 г,"169,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки тыквенные от Мартина жареные соленые 100 г,"149,99 ₽","Овощи, фрукты, зелень, орехи"
Лук репчатый желтый 600 г в лотке,"79,99 ₽","Овощи, фрукты, зелень, орехи"
Фундук Красная цена сушеный 100 г,"129,99 ₽","Овощи, фрукты, зелень, орехи"
Капуста Global Village квашенная с клюквой 500 г,"119,99 ₽","Овощи, фрукты, зелень, орехи"
Овощная смесь Global Village по-астрахански 600 г,"209,99 ₽","Овощи, фрукты, зелень, орехи"
Опята ФЭГ целые маринованные 250 г,"149,99 ₽","Овощи, фрукты, зелень, орехи"
Картофель Сад и огород для жарки 3 кг,"299,99 ₽","Овощи, фрукты, зелень, орехи"
Кабачки Дядя Ваня в аджике по-тбилисски 460 мл,"Цена со скидкой за 1 шт.157,99 ₽","Овощи, фрукты, зелень, орехи"
Маслины Global Village с косточкой 314 мл,"149,99 ₽","Овощи, фрукты, зелень, орехи"
Каперсы Trattoria di Maestro Turatti в уксусе 190 г,"229,99 ₽","Овощи, фрукты, зелень, орехи"
Киви 450 г,"229,99 ₽","Овощи, фрукты, зелень, орехи"
Семечки подсолнечные от Мартина Отборные жареные 250 г,"199,99 ₽","Овощи, фрукты, зелень, орехи"
Лимоны Узбекистан 2 шт,"Цена со скидкой за 1 шт.149,99 ₽","Овощи, фрукты, зелень, орехи"
Ананас сушеный Зеленика 20 г,"Цена со скидкой за 1 шт.132,99 ₽","Овощи, фрукты, зелень, орехи"
